,variable_code,label,concept,predicateType,group,attributes
4271,S2402_C05_031E,"MEDIAN EARNINGS (DOLLARS) FOR MALE!!ESTIMATE!!NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS!!CONSTRUCTION AND EXTRACTION OCCUPATIONS","OCCUPATION BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",int,S2402,"S2402_C05_031EA,S2402_C05_031M,S2402_C05_031MA"
4272,S0506_C02_097E,FOREIGN BORN; BORN IN LATIN AMERICA!!ESTIMATE!!INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!HOUSEHOLDS,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: LATIN AMERICA,int,S0506,"S0506_C02_097EA,S0506_C02_097M,S0506_C02_097MA"
4273,S0505_C05_077E,FOREIGN BORN; BORN IN SOUTH EASTERN ASIA!!ESTIMATE!!INDUSTRY!!WHOLESALE TRADE,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: ASIA,float,S0505,"S0505_C05_077EA,S0505_C05_077M,S0505_C05_077MA"
4274,S2302_C01_018E,TOTAL!!ESTIMATE!!MARRIED-COUPLE FAMILIES,EMPLOYMENT CHARACTERISTICS OF FAMILIES,int,S2302,"S2302_C01_018EA,S2302_C01_018M,S2302_C01_018MA"
4275,S2401_C02_006E,"MALE!!ESTIMATE!!MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS!!COMPUTER, ENGINEERING, AND SCIENCE OCCUPATIONS",OCCUPATION BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,float,S2401,"S2401_C02_006EA,S2401_C02_006M,S2401_C02_006MA"
4276,S2402_C05_032E,"MEDIAN EARNINGS (DOLLARS) FOR MALE!!ESTIMATE!!NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS!!INSTALLATION, MAINTENANCE, AND REPAIR OCCUPATIONS","OCCUPATION BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",int,S2402,"S2402_C05_032EA,S2402_C05_032M,S2402_C05_032MA"
4277,S2404_C05_007E,MEDIAN EARNINGS (DOLLARS) FOR MALE!!ESTIMATE!!WHOLESALE TRADE,"INDUSTRY BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",int,S2404,"S2404_C05_007EA,S2404_C05_007M,S2404_C05_007MA"
4278,S0804_C01_090E,TOTAL!!ESTIMATE!!VEHICLES AVAILABLE!!NO VEHICLE AVAILABLE,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS FOR WORKPLACE GEOGRAPHY,float,S0804,"S0804_C01_090EA,S0804_C01_090M,S0804_C01_090MA"
4279,S0505_C05_070E,FOREIGN BORN; BORN IN SOUTH EASTERN ASIA!!ESTIMATE!!OCCUPATION!!SERVICE OCCUPATIONS,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: ASIA,float,S0505,"S0505_C05_070EA,S0505_C05_070M,S0505_C05_070MA"
4280,S2302_C01_011E,"TOTAL!!ESTIMATE!!OTHER FAMILIES!!MALE HOUSEHOLDER, NO WIFE PRESENT",EMPLOYMENT CHARACTERISTICS OF FAMILIES,float,S2302,"S2302_C01_011EA,S2302_C01_011M,S2302_C01_011MA"
4281,S1810_C02_003E,WITH A DISABILITY!!ESTIMATE!!POPULATION UNDER 5 YEARS!!WITH A HEARING DIFFICULTY,DISABILITY CHARACTERISTICS,int,S1810,"S1810_C02_003EA,S1810_C02_003M,S1810_C02_003MA"
4282,S0506_C02_094E,"FOREIGN BORN; BORN IN LATIN AMERICA!!ESTIMATE!!EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!POPULATION 16 YEARS AND OVER WITH EARNINGS!!$75,000 OR MORE",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: LATIN AMERICA,float,S0506,"S0506_C02_094EA,S0506_C02_094M,S0506_C02_094MA"
4283,S2401_C02_001E,MALE!!ESTIMATE!!CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,OCCUPATION BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,float,S2401,"S2401_C02_001EA,S2401_C02_001M,S2401_C02_001MA"
4284,S2402_C05_033E,"MEDIAN EARNINGS (DOLLARS) FOR MALE!!ESTIMATE!!PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS","OCCUPATION BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",int,S2402,"S2402_C05_033EA,S2402_C05_033M,S2402_C05_033MA"
4285,S0804_C01_091E,TOTAL!!ESTIMATE!!VEHICLES AVAILABLE!!1 VEHICLE AVAILABLE,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS FOR WORKPLACE GEOGRAPHY,float,S0804,"S0804_C01_091EA,S0804_C01_091M,S0804_C01_091MA"
4286,S0505_C05_071E,FOREIGN BORN; BORN IN SOUTH EASTERN ASIA!!ESTIMATE!!OCCUPATION!!SALES AND OFFICE OCCUPATIONS,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: ASIA,float,S0505,"S0505_C05_071EA,S0505_C05_071M,S0505_C05_071MA"
4287,S2404_C05_006E,MEDIAN EARNINGS (DOLLARS) FOR MALE!!ESTIMATE!!MANUFACTURING,"INDUSTRY BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",int,S2404,"S2404_C05_006EA,S2404_C05_006M,S2404_C05_006MA"
4288,S2302_C01_012E,"TOTAL!!ESTIMATE!!OTHER FAMILIES!!MALE HOUSEHOLDER, NO WIFE PRESENT!!IN LABOR FORCE",EMPLOYMENT CHARACTERISTICS OF FAMILIES,float,S2302,"S2302_C01_012EA,S2302_C01_012M,S2302_C01_012MA"
4289,S0506_C02_095E,"FOREIGN BORN; BORN IN LATIN AMERICA!!ESTIMATE!!MEDIAN EARNINGS (DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!MALE",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: LATIN AMERICA,int,S0506,"S0506_C02_095EA,S0506_C02_095M,S0506_C02_095MA"
4290,S1810_C02_004E,WITH A DISABILITY!!ESTIMATE!!POPULATION UNDER 5 YEARS!!WITH A VISION DIFFICULTY,DISABILITY CHARACTERISTICS,int,S1810,"S1810_C02_004EA,S1810_C02_004M,S1810_C02_004MA"
4291,S1903_C02_030E,MEDIAN INCOME (DOLLARS)!!ESTIMATE!!PERCENT IMPUTED!!NONFAMILY INCOME IN THE PAST 12 MONTHS,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS),int,S1903,"S1903_C02_030EA,S1903_C02_030M,S1903_C02_030MA"
4292,S2402_C05_034E,"MEDIAN EARNINGS (DOLLARS) FOR MALE!!ESTIMATE!!PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS!!PRODUCTION OCCUPATIONS","OCCUPATION BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",int,S2402,"S2402_C05_034EA,S2402_C05_034M,S2402_C05_034MA"
4293,S0804_C01_092E,TOTAL!!ESTIMATE!!VEHICLES AVAILABLE!!2 VEHICLES AVAILABLE,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS FOR WORKPLACE GEOGRAPHY,float,S0804,"S0804_C01_092EA,S0804_C01_092M,S0804_C01_092MA"
4294,S2404_C05_009E,"MEDIAN EARNINGS (DOLLARS) FOR MALE!!ESTIMATE!!TRANSPORTATION AND WAREHOUSING, AND UTILITIES","INDUSTRY BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",int,S2404,"S2404_C05_009EA,S2404_C05_009M,S2404_C05_009MA"
4295,S0505_C05_072E,"FOREIGN BORN; BORN IN SOUTH EASTERN ASIA!!ESTIMATE!!OCCUPATION!!NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: ASIA,float,S0505,"S0505_C05_072EA,S0505_C05_072M,S0505_C05_072MA"
4296,S0506_C02_092E,"FOREIGN BORN; BORN IN LATIN AMERICA!!ESTIMATE!!EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!POPULATION 16 YEARS AND OVER WITH EARNINGS!!$35,000 TO $49,999",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: LATIN AMERICA,float,S0506,"S0506_C02_092EA,S0506_C02_092M,S0506_C02_092MA"
4297,S1810_C02_005E,WITH A DISABILITY!!ESTIMATE!!POPULATION 5 TO 17 YEARS,DISABILITY CHARACTERISTICS,int,S1810,"S1810_C02_005EA,S1810_C02_005M,S1810_C02_005MA"
4298,S2302_C01_013E,"TOTAL!!ESTIMATE!!OTHER FAMILIES!!MALE HOUSEHOLDER, NO WIFE PRESENT!!NOT IN LABOR FORCE",EMPLOYMENT CHARACTERISTICS OF FAMILIES,float,S2302,"S2302_C01_013EA,S2302_C01_013M,S2302_C01_013MA"
4299,S2401_C02_003E,"MALE!!ESTIMATE!!MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS!!MANAGEMENT, BUSINESS, AND FINANCIAL OCCUPATIONS",OCCUPATION BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,float,S2401,"S2401_C02_003EA,S2401_C02_003M,S2401_C02_003MA"
4300,S2402_C05_035E,"MEDIAN EARNINGS (DOLLARS) FOR MALE!!ESTIMATE!!PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS!!TRANSPORTATION OCCUPATIONS","OCCUPATION BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",int,S2402,"S2402_C05_035EA,S2402_C05_035M,S2402_C05_035MA"
4301,S2504_C03_029E,RENTER-OCCUPIED HOUSING UNITS!!ESTIMATE!!VEHICLES AVAILABLE!!3 OR MORE VEHICLES AVAILABLE,PHYSICAL HOUSING CHARACTERISTICS FOR OCCUPIED HOUSING UNITS,float,S2504,"S2504_C03_029EA,S2504_C03_029M,S2504_C03_029MA"
4302,S0804_C01_093E,TOTAL!!ESTIMATE!!VEHICLES AVAILABLE!!3 OR MORE VEHICLES AVAILABLE,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS FOR WORKPLACE GEOGRAPHY,float,S0804,"S0804_C01_093EA,S0804_C01_093M,S0804_C01_093MA"
4303,S2404_C05_008E,MEDIAN EARNINGS (DOLLARS) FOR MALE!!ESTIMATE!!RETAIL TRADE,"INDUSTRY BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",int,S2404,"S2404_C05_008EA,S2404_C05_008M,S2404_C05_008MA"
4304,S1810_C02_006E,WITH A DISABILITY!!ESTIMATE!!POPULATION 5 TO 17 YEARS!!WITH A HEARING DIFFICULTY,DISABILITY CHARACTERISTICS,int,S1810,"S1810_C02_006EA,S1810_C02_006M,S1810_C02_006MA"
4305,S0505_C05_073E,"FOREIGN BORN; BORN IN SOUTH EASTERN ASIA!!ESTIMATE!!OCCUPATION!!PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: ASIA,float,S0505,"S0505_C05_073EA,S0505_C05_073M,S0505_C05_073MA"
4306,S0506_C02_093E,"FOREIGN BORN; BORN IN LATIN AMERICA!!ESTIMATE!!EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!POPULATION 16 YEARS AND OVER WITH EARNINGS!!$50,000 TO $74,999",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: LATIN AMERICA,float,S0506,"S0506_C02_093EA,S0506_C02_093M,S0506_C02_093MA"
4307,S2302_C01_014E,TOTAL!!ESTIMATE!!WORK STATUS CHARACTERISTICS!!FAMILIES,EMPLOYMENT CHARACTERISTICS OF FAMILIES,int,S2302,"S2302_C01_014EA,S2302_C01_014M,S2302_C01_014MA"
4308,S2401_C02_002E,"MALE!!ESTIMATE!!MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS",OCCUPATION BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,float,S2401,"S2401_C02_002EA,S2401_C02_002M,S2401_C02_002MA"
4309,S2402_C05_036E,"MEDIAN EARNINGS (DOLLARS) FOR MALE!!ESTIMATE!!PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS!!MATERIAL MOVING OCCUPATIONS","OCCUPATION BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",int,S2402,"S2402_C05_036EA,S2402_C05_036M,S2402_C05_036MA"
4310,S2702PR_C02_001E,UNINSURED POPULATION!!ESTIMATE!!TOTAL POPULATION,SELECTED CHARACTERISTICS OF THE UNINSURED IN PUERTO RICO,int,S2702PR,"S2702PR_C02_001EA,S2702PR_C02_001M,S2702PR_C02_001MA"
4311,S2601B_C01_081E,TOTAL POPULATION!!ESTIMATE!!WORLD REGION OF BIRTH OF FOREIGN BORN!!FOREIGN-BORN POPULATION EXCLUDING POPULATION BORN AT SEA!!OTHER,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE,float,S2601B,"S2601B_C01_081EA,S2601B_C01_081M,S2601B_C01_081MA"
4312,S0501_C05_041E,FOREIGN BORN; NOT A U.S. CITIZEN!!ESTIMATE!!EDUCATIONAL ATTAINMENT!!POPULATION 25 YEARS AND OVER!!SOME COLLEGE OR ASSOCIATE'S DEGREE,SELECTED CHARACTERISTICS OF THE NATIVE AND FOREIGN-BORN POPULATIONS,float,S0501,"S0501_C05_041EA,S0501_C05_041M,S0501_C05_041MA"
4313,S2402_C05_037E,MEDIAN EARNINGS (DOLLARS) FOR MALE!!ESTIMATE!!PERCENT IMPUTED!!OCCUPATION,"OCCUPATION BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",int,S2402,"S2402_C05_037EA,S2402_C05_037M,S2402_C05_037MA"
4314,S2601B_C01_082E,TOTAL POPULATION!!ESTIMATE!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!POPULATION 5 YEARS AND OVER,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE,int,S2601B,"S2601B_C01_082EA,S2601B_C01_082M,S2601B_C01_082MA"
4315,S0501_C05_040E,FOREIGN BORN; NOT A U.S. CITIZEN!!ESTIMATE!!EDUCATIONAL ATTAINMENT!!POPULATION 25 YEARS AND OVER!!HIGH SCHOOL GRADUATE (INCLUDES EQUIVALENCY),SELECTED CHARACTERISTICS OF THE NATIVE AND FOREIGN-BORN POPULATIONS,float,S0501,"S0501_C05_040EA,S0501_C05_040M,S0501_C05_040MA"
4316,S2601B_C01_083E,TOTAL POPULATION!!ESTIMATE!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!POPULATION 5 YEARS AND OVER!!ENGLISH ONLY,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE,float,S2601B,"S2601B_C01_083EA,S2601B_C01_083M,S2601B_C01_083MA"
4317,S1810_C02_001E,WITH A DISABILITY!!ESTIMATE!!TOTAL CIVILIAN NONINSTITUTIONALIZED POPULATION,DISABILITY CHARACTERISTICS,int,S1810,"S1810_C02_001EA,S1810_C02_001M,S1810_C02_001MA"
4318,S2702PR_C02_003E,UNINSURED POPULATION!!ESTIMATE!!AGE!!UNDER 18 YEARS!!UNDER 6 YEARS,SELECTED CHARACTERISTICS OF THE UNINSURED IN PUERTO RICO,float,S2702PR,"S2702PR_C02_003EA,S2702PR_C02_003M,S2702PR_C02_003MA"
4319,S2601APR_C02_101E,TOTAL GROUP QUARTERS POPULATION!!ESTIMATE!!MEAN EARNINGS (DOLLARS)!!MALE,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION IN PUERTO RICO,int,S2601APR,"S2601APR_C02_101EA,S2601APR_C02_101M,S2601APR_C02_101MA"
4320,S2702PR_C02_002E,UNINSURED POPULATION!!ESTIMATE!!AGE!!UNDER 18 YEARS,SELECTED CHARACTERISTICS OF THE UNINSURED IN PUERTO RICO,float,S2702PR,"S2702PR_C02_002EA,S2702PR_C02_002M,S2702PR_C02_002MA"
4321,S2601B_C01_084E,TOTAL POPULATION!!ESTIMATE!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!POPULATION 5 YEARS AND OVER!!LANGUAGE OTHER THAN ENGLISH,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE,float,S2601B,"S2601B_C01_084EA,S2601B_C01_084M,S2601B_C01_084MA"
4322,S2302_C01_010E,"TOTAL!!ESTIMATE!!OTHER FAMILIES!!FEMALE HOUSEHOLDER, NO HUSBAND PRESENT!!NOT IN LABOR FORCE",EMPLOYMENT CHARACTERISTICS OF FAMILIES,float,S2302,"S2302_C01_010EA,S2302_C01_010M,S2302_C01_010MA"
4323,S1810_C02_002E,WITH A DISABILITY!!ESTIMATE!!POPULATION UNDER 5 YEARS,DISABILITY CHARACTERISTICS,int,S1810,"S1810_C02_002EA,S1810_C02_002M,S1810_C02_002MA"
4324,S2601APR_C02_100E,TOTAL GROUP QUARTERS POPULATION!!ESTIMATE!!WITH EARNINGS!!FEMALE,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION IN PUERTO RICO,int,S2601APR,"S2601APR_C02_100EA,S2601APR_C02_100M,S2601APR_C02_100MA"
4325,S0501_C05_045E,FOREIGN BORN; NOT A U.S. CITIZEN!!ESTIMATE!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!POPULATION 5 YEARS AND OVER!!ENGLISH ONLY,SELECTED CHARACTERISTICS OF THE NATIVE AND FOREIGN-BORN POPULATIONS,float,S0501,"S0501_C05_045EA,S0501_C05_045M,S0501_C05_045MA"
4326,S2401_C02_009E,"MALE!!ESTIMATE!!MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS!!COMPUTER, ENGINEERING, AND SCIENCE OCCUPATIONS!!LIFE, PHYSICAL, AND SOCIAL SCIENCE OCCUPATIONS",OCCUPATION BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,float,S2401,"S2401_C02_009EA,S2401_C02_009M,S2401_C02_009MA"
4327,S0504_C04_117E,FOREIGN BORN; BORN IN OCEANIA!!ESTIMATE!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!ALL FAMILIES!!WITH RELATED CHILDREN UNDER 5 YEARS ONLY,"SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: AFRICA, NORTHERN AMERICA, AND OCEANIA",float,S0504,"S0504_C04_117EA,S0504_C04_117M,S0504_C04_117MA"
4328,S2702PR_C02_005E,UNINSURED POPULATION!!ESTIMATE!!AGE!!18 TO 64 YEARS,SELECTED CHARACTERISTICS OF THE UNINSURED IN PUERTO RICO,float,S2702PR,"S2702PR_C02_005EA,S2702PR_C02_005M,S2702PR_C02_005MA"
4329,S0501_C05_044E,FOREIGN BORN; NOT A U.S. CITIZEN!!ESTIMATE!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!POPULATION 5 YEARS AND OVER,SELECTED CHARACTERISTICS OF THE NATIVE AND FOREIGN-BORN POPULATIONS,int,S0501,"S0501_C05_044EA,S0501_C05_044M,S0501_C05_044MA"
4330,S0504_C04_118E,FOREIGN BORN; BORN IN OCEANIA!!ESTIMATE!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!MARRIED-COUPLE FAMILY,"SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: AFRICA, NORTHERN AMERICA, AND OCEANIA",float,S0504,"S0504_C04_118EA,S0504_C04_118M,S0504_C04_118MA"
4331,S2401_C02_008E,"MALE!!ESTIMATE!!MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS!!COMPUTER, ENGINEERING, AND SCIENCE OCCUPATIONS!!ARCHITECTURE AND ENGINEERING OCCUPATIONS",OCCUPATION BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,float,S2401,"S2401_C02_008EA,S2401_C02_008M,S2401_C02_008MA"
4332,S2702PR_C02_004E,UNINSURED POPULATION!!ESTIMATE!!AGE!!UNDER 18 YEARS!!6 TO 17 YEARS,SELECTED CHARACTERISTICS OF THE UNINSURED IN PUERTO RICO,float,S2702PR,"S2702PR_C02_004EA,S2702PR_C02_004M,S2702PR_C02_004MA"
4333,S0501_C05_043E,FOREIGN BORN; NOT A U.S. CITIZEN!!ESTIMATE!!EDUCATIONAL ATTAINMENT!!POPULATION 25 YEARS AND OVER!!GRADUATE OR PROFESSIONAL DEGREE,SELECTED CHARACTERISTICS OF THE NATIVE AND FOREIGN-BORN POPULATIONS,float,S0501,"S0501_C05_043EA,S0501_C05_043M,S0501_C05_043MA"
4334,S2702PR_C02_007E,UNINSURED POPULATION!!ESTIMATE!!AGE!!18 TO 64 YEARS!!25 TO 34 YEARS,SELECTED CHARACTERISTICS OF THE UNINSURED IN PUERTO RICO,float,S2702PR,"S2702PR_C02_007EA,S2702PR_C02_007M,S2702PR_C02_007MA"
4335,S0504_C04_119E,FOREIGN BORN; BORN IN OCEANIA!!ESTIMATE!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!MARRIED-COUPLE FAMILY!!WITH RELATED CHILDREN UNDER 18 YEARS,"SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: AFRICA, NORTHERN AMERICA, AND OCEANIA",float,S0504,"S0504_C04_119EA,S0504_C04_119M,S0504_C04_119MA"
4336,S0501_C05_042E,FOREIGN BORN; NOT A U.S. CITIZEN!!ESTIMATE!!EDUCATIONAL ATTAINMENT!!POPULATION 25 YEARS AND OVER!!BACHELOR'S DEGREE,SELECTED CHARACTERISTICS OF THE NATIVE AND FOREIGN-BORN POPULATIONS,float,S0501,"S0501_C05_042EA,S0501_C05_042M,S0501_C05_042MA"
4337,S2601B_C01_080E,TOTAL POPULATION!!ESTIMATE!!WORLD REGION OF BIRTH OF FOREIGN BORN!!FOREIGN-BORN POPULATION EXCLUDING POPULATION BORN AT SEA!!LATIN AMERICA,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE,float,S2601B,"S2601B_C01_080EA,S2601B_C01_080M,S2601B_C01_080MA"
4338,S2702PR_C02_006E,UNINSURED POPULATION!!ESTIMATE!!AGE!!18 TO 64 YEARS!!18 TO 24 YEARS,SELECTED CHARACTERISTICS OF THE UNINSURED IN PUERTO RICO,float,S2702PR,"S2702PR_C02_006EA,S2702PR_C02_006M,S2702PR_C02_006MA"
4339,S0501_C05_001E,FOREIGN BORN; NOT A U.S. CITIZEN!!ESTIMATE!!TOTAL POPULATION,SELECTED CHARACTERISTICS OF THE NATIVE AND FOREIGN-BORN POPULATIONS,int,S0501,"S0501_C05_001EA,S0501_C05_001M,S0501_C05_001MA"
4340,S2601APR_C02_108E,TOTAL GROUP QUARTERS POPULATION!!ESTIMATE!!POVERTY RATES FOR PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED!!ALL PEOPLE!!18 TO 64 YEARS,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION IN PUERTO RICO,float,S2601APR,"S2601APR_C02_108EA,S2601APR_C02_108M,S2601APR_C02_108MA"
4341,S2601APR_C02_107E,TOTAL GROUP QUARTERS POPULATION!!ESTIMATE!!POVERTY RATES FOR PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED!!ALL PEOPLE!!18 YEARS AND OVER,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION IN PUERTO RICO,float,S2601APR,"S2601APR_C02_107EA,S2601APR_C02_107M,S2601APR_C02_107MA"
4342,S1101_C02_010E,MARRIED-COUPLE FAMILY HOUSEHOLD!!ESTIMATE!!TOTAL HOUSEHOLDS!!SELECTED HOUSEHOLDS BY TYPE!!HOUSEHOLDS WITH ONE OR MORE PEOPLE UNDER 18 YEARS,HOUSEHOLDS AND FAMILIES,float,S1101,"S1101_C02_010EA,S1101_C02_010M,S1101_C02_010MA"
4343,S0601_C03_049E,NATIVE; BORN IN OTHER STATE IN THE U.S.!!ESTIMATE!!POVERTY STATUS IN THE PAST 12 MONTHS!!POPULATION FOR WHOM POVERTY STATUS IS DETERMINED!!BELOW 100 PERCENT OF THE POVERTY LEVEL,SELECTED CHARACTERISTICS OF THE TOTAL AND NATIVE POPULATIONS IN THE UNITED STATES,float,S0601,"S0601_C03_049EA,S0601_C03_049M,S0601_C03_049MA"
