,variable_code,label,concept,predicateType,group,limit,attributes,predicateOnly
4161,S2601B_C01_096E,Total population!!Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE,float,S2601B,0,"S2601B_C01_096EA,S2601B_C01_096M,S2601B_C01_096MA",
4162,S0502PR_C03_009E,Foreign born; Entered 2000 to 2009!!Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Latin America,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY PERIOD OF ENTRY INTO PUERTO RICO,float,S0502PR,0,"S0502PR_C03_009EA,S0502PR_C03_009M,S0502PR_C03_009MA",
4163,S2402_C05_027E,Median earnings (dollars) for male!!Estimate!!Sales and office occupations!!Sales and related occupations,"OCCUPATION BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",int,S2402,0,"S2402_C05_027EA,S2402_C05_027M,S2402_C05_027MA",
4164,S0501_C05_033E,Foreign born; Not a U.S. citizen!!Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school,SELECTED CHARACTERISTICS OF THE NATIVE AND FOREIGN-BORN POPULATIONS,int,S0501,0,"S0501_C05_033EA,S0501_C05_033M,S0501_C05_033MA",
4165,S0504_C04_105E,Foreign born; Born in Oceania!!Estimate!!INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Households!!With cash public assistance income!!Mean cash public assistance income (dollars),"SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: AFRICA, NORTHERN AMERICA, AND OCEANIA",int,S0504,0,"S0504_C04_105EA,S0504_C04_105M,S0504_C04_105MA",
4166,S2402_C05_028E,Median earnings (dollars) for male!!Estimate!!Sales and office occupations!!Office and administrative support occupations,"OCCUPATION BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",int,S2402,0,"S2402_C05_028EA,S2402_C05_028M,S2402_C05_028MA",
4167,S0501_C05_032E,Foreign born; Not a U.S. citizen!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Widowed,SELECTED CHARACTERISTICS OF THE NATIVE AND FOREIGN-BORN POPULATIONS,float,S0501,0,"S0501_C05_032EA,S0501_C05_032M,S0501_C05_032MA",
4168,S2601B_C01_090E,Total population!!Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE,float,S2601B,0,"S2601B_C01_090EA,S2601B_C01_090M,S2601B_C01_090MA",
4169,S0504_C04_106E,Foreign born; Born in Oceania!!Estimate!!INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Households!!With retirement income,"SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: AFRICA, NORTHERN AMERICA, AND OCEANIA",float,S0504,0,"S0504_C04_106EA,S0504_C04_106M,S0504_C04_106MA",
4170,S2402_C05_029E,"Median earnings (dollars) for male!!Estimate!!Natural resources, construction, and maintenance occupations","OCCUPATION BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",int,S2402,0,"S2402_C05_029EA,S2402_C05_029M,S2402_C05_029MA",
4171,S0501_C05_031E,Foreign born; Not a U.S. citizen!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Divorced or separated,SELECTED CHARACTERISTICS OF THE NATIVE AND FOREIGN-BORN POPULATIONS,float,S0501,0,"S0501_C05_031EA,S0501_C05_031M,S0501_C05_031MA",
4172,S2601B_C01_091E,Total population!!Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed!!Percent of civilian labor force,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE,float,S2601B,0,"S2601B_C01_091EA,S2601B_C01_091M,S2601B_C01_091MA",
4173,S0504_C04_107E,Foreign born; Born in Oceania!!Estimate!!INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Households!!With retirement income!!Mean retirement income (dollars),"SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: AFRICA, NORTHERN AMERICA, AND OCEANIA",int,S0504,0,"S0504_C04_107EA,S0504_C04_107M,S0504_C04_107MA",
4174,S0506_C02_088E,"Foreign born; Born in Latin America!!Estimate!!EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$1 to $9,999 or loss",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: LATIN AMERICA,float,S0506,0,"S0506_C02_088EA,S0506_C02_088M,S0506_C02_088MA",
4175,S2601B_C01_092E,Total population!!Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE,float,S2601B,0,"S2601B_C01_092EA,S2601B_C01_092M,S2601B_C01_092MA",
4176,S0501_C05_030E,"Foreign born; Not a U.S. citizen!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated",SELECTED CHARACTERISTICS OF THE NATIVE AND FOREIGN-BORN POPULATIONS,float,S0501,0,"S0501_C05_030EA,S0501_C05_030M,S0501_C05_030MA",
4177,S0506_C02_089E,"Foreign born; Born in Latin America!!Estimate!!EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$10,000 to $14,999",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: LATIN AMERICA,float,S0506,0,"S0506_C02_089EA,S0506_C02_089M,S0506_C02_089MA",
4178,S0504_C04_108E,Foreign born; Born in Oceania!!Estimate!!INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Households!!With Food Stamp/SNAP benefits,"SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: AFRICA, NORTHERN AMERICA, AND OCEANIA",float,S0504,0,"S0504_C04_108EA,S0504_C04_108M,S0504_C04_108MA",
4179,S2601B_C01_077E,Total population!!Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population excluding population born at sea,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE,int,S2601B,0,"S2601B_C01_077EA,S2601B_C01_077M,S2601B_C01_077MA",
4180,S0504_C04_125E,Foreign born; Born in Oceania!!Estimate!!Occupied housing units!!HOUSING TENURE!!Owner-occupied housing units,"SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: AFRICA, NORTHERN AMERICA, AND OCEANIA",float,S0504,0,"S0504_C04_125EA,S0504_C04_125M,S0504_C04_125MA",
4181,S0502PR_C03_028E,Foreign born; Entered 2000 to 2009!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY PERIOD OF ENTRY INTO PUERTO RICO,float,S0502PR,0,"S0502PR_C03_028EA,S0502PR_C03_028M,S0502PR_C03_028MA",
4182,S1903_C02_028E,Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS),int,S1903,0,"S1903_C02_028EA,S1903_C02_028M,S1903_C02_028MA",
4183,S0501_C05_037E,Foreign born; Not a U.S. citizen!!Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school,SELECTED CHARACTERISTICS OF THE NATIVE AND FOREIGN-BORN POPULATIONS,float,S0501,0,"S0501_C05_037EA,S0501_C05_037M,S0501_C05_037MA",
4184,S2504_C03_032E,"Renter-occupied housing units!!Estimate!!HOUSE HEATING FUEL!!Bottled, tank, or LP gas",PHYSICAL HOUSING CHARACTERISTICS FOR OCCUPIED HOUSING UNITS,float,S2504,0,"S2504_C03_032EA,S2504_C03_032M,S2504_C03_032MA",
4185,S2601B_C01_078E,Total population!!Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population excluding population born at sea!!Europe,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE,float,S2601B,0,"S2601B_C01_078EA,S2601B_C01_078M,S2601B_C01_078MA",
4186,S0504_C04_126E,Foreign born; Born in Oceania!!Estimate!!Occupied housing units!!HOUSING TENURE!!Renter-occupied housing units,"SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: AFRICA, NORTHERN AMERICA, AND OCEANIA",float,S0504,0,"S0504_C04_126EA,S0504_C04_126M,S0504_C04_126MA",
4187,S1903_C02_027E,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS),int,S1903,0,"S1903_C02_027EA,S1903_C02_027M,S1903_C02_027MA",
4188,S0501_C05_036E,Foreign born; Not a U.S. citizen!!Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),SELECTED CHARACTERISTICS OF THE NATIVE AND FOREIGN-BORN POPULATIONS,float,S0501,0,"S0501_C05_036EA,S0501_C05_036M,S0501_C05_036MA",
4189,S0502PR_C03_027E,Foreign born; Entered 2000 to 2009!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY PERIOD OF ENTRY INTO PUERTO RICO,float,S0502PR,0,"S0502PR_C03_027EA,S0502PR_C03_027M,S0502PR_C03_027MA",
4190,S2504_C03_031E,Renter-occupied housing units!!Estimate!!HOUSE HEATING FUEL!!Utility gas,PHYSICAL HOUSING CHARACTERISTICS FOR OCCUPIED HOUSING UNITS,float,S2504,0,"S2504_C03_031EA,S2504_C03_031M,S2504_C03_031MA",
4191,S0501_C05_035E,Foreign born; Not a U.S. citizen!!Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades K-8),SELECTED CHARACTERISTICS OF THE NATIVE AND FOREIGN-BORN POPULATIONS,float,S0501,0,"S0501_C05_035EA,S0501_C05_035M,S0501_C05_035MA",
4192,S2601B_C01_079E,Total population!!Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population excluding population born at sea!!Asia,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE,float,S2601B,0,"S2601B_C01_079EA,S2601B_C01_079M,S2601B_C01_079MA",
4193,S0504_C04_127E,Foreign born; Born in Oceania!!Estimate!!Average household size of owner-occupied unit,"SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: AFRICA, NORTHERN AMERICA, AND OCEANIA",float,S0504,0,"S0504_C04_127EA,S0504_C04_127M,S0504_C04_127MA",
4194,S2504_C03_030E,Renter-occupied housing units!!Estimate!!TELEPHONE SERVICE AVAILABLE!!With telephone service,PHYSICAL HOUSING CHARACTERISTICS FOR OCCUPIED HOUSING UNITS,float,S2504,0,"S2504_C03_030EA,S2504_C03_030M,S2504_C03_030MA",
4195,S0502PR_C03_026E,Foreign born; Entered 2000 to 2009!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY PERIOD OF ENTRY INTO PUERTO RICO,float,S0502PR,0,"S0502PR_C03_026EA,S0502PR_C03_026M,S0502PR_C03_026MA",
4196,S0501_C05_034E,"Foreign born; Not a U.S. citizen!!Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool",SELECTED CHARACTERISTICS OF THE NATIVE AND FOREIGN-BORN POPULATIONS,float,S0501,0,"S0501_C05_034EA,S0501_C05_034M,S0501_C05_034MA",
4197,S0504_C04_128E,Foreign born; Born in Oceania!!Estimate!!Average household size of renter-occupied unit,"SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: AFRICA, NORTHERN AMERICA, AND OCEANIA",float,S0504,0,"S0504_C04_128EA,S0504_C04_128M,S0504_C04_128MA",
4198,S1903_C02_029E,Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS),int,S1903,0,"S1903_C02_029EA,S1903_C02_029M,S1903_C02_029MA",
4199,S0502PR_C03_025E,Foreign born; Entered 2000 to 2009!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY PERIOD OF ENTRY INTO PUERTO RICO,float,S0502PR,0,"S0502PR_C03_025EA,S0502PR_C03_025M,S0502PR_C03_025MA",
4200,S2601B_C01_073E,"Total population!!Estimate!!PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY!!Total population!!Foreign born!!Not a U.S. citizen!!Female",CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE,float,S2601B,0,"S2601B_C01_073EA,S2601B_C01_073M,S2601B_C01_073MA",
4201,S1101_C02_001E,Married-couple family household!!Estimate!!Total households,HOUSEHOLDS AND FAMILIES,int,S1101,0,"S1101_C02_001EA,S1101_C02_001M,S1101_C02_001MA",
4202,S0504_C04_121E,"Foreign born; Born in Oceania!!Estimate!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!Female householder, no husband present, family","SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: AFRICA, NORTHERN AMERICA, AND OCEANIA",float,S0504,0,"S0504_C04_121EA,S0504_C04_121M,S0504_C04_121MA",
4203,S2601B_C01_074E,Total population!!Estimate!!Entered 2010 or later,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE,float,S2601B,0,"S2601B_C01_074EA,S2601B_C01_074M,S2601B_C01_074MA",
4204,S1101_C02_002E,Married-couple family household!!Estimate!!Average household size,HOUSEHOLDS AND FAMILIES,float,S1101,0,"S1101_C02_002EA,S1101_C02_002M,S1101_C02_002MA",
4205,S0504_C04_122E,"Foreign born; Born in Oceania!!Estimate!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!Female householder, no husband present, family!!With related children under 18 years","SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: AFRICA, NORTHERN AMERICA, AND OCEANIA",float,S0504,0,"S0504_C04_122EA,S0504_C04_122M,S0504_C04_122MA",
4206,S1101_C02_003E,Married-couple family household!!Estimate!!FAMILIES!!Total families,HOUSEHOLDS AND FAMILIES,int,S1101,0,"S1101_C02_003EA,S1101_C02_003M,S1101_C02_003MA",
4207,S2601B_C01_075E,Total population!!Estimate!!Entered 2000 to 2009,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE,float,S2601B,0,"S2601B_C01_075EA,S2601B_C01_075M,S2601B_C01_075MA",
4208,S0504_C04_123E,"Foreign born; Born in Oceania!!Estimate!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!Female householder, no husband present, family!!With related children under 5 years only","SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: AFRICA, NORTHERN AMERICA, AND OCEANIA",float,S0504,0,"S0504_C04_123EA,S0504_C04_123M,S0504_C04_123MA",
4209,S0501_C05_039E,Foreign born; Not a U.S. citizen!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate,SELECTED CHARACTERISTICS OF THE NATIVE AND FOREIGN-BORN POPULATIONS,float,S0501,0,"S0501_C05_039EA,S0501_C05_039M,S0501_C05_039MA",
4210,S1101_C02_004E,Married-couple family household!!Estimate!!FAMILIES!!Average family size,HOUSEHOLDS AND FAMILIES,float,S1101,0,"S1101_C02_004EA,S1101_C02_004M,S1101_C02_004MA",
4211,S2601B_C01_076E,Total population!!Estimate!!Entered before 2000,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE,float,S2601B,0,"S2601B_C01_076EA,S2601B_C01_076M,S2601B_C01_076MA",
4212,S0504_C04_124E,Foreign born; Born in Oceania!!Estimate!!Occupied housing units,"SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: AFRICA, NORTHERN AMERICA, AND OCEANIA",int,S0504,0,"S0504_C04_124EA,S0504_C04_124M,S0504_C04_124MA",
4213,S0502PR_C03_029E,Foreign born; Entered 2000 to 2009!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY PERIOD OF ENTRY INTO PUERTO RICO,float,S0502PR,0,"S0502PR_C03_029EA,S0502PR_C03_029M,S0502PR_C03_029MA",
4214,S0501_C05_038E,Foreign born; Not a U.S. citizen!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,SELECTED CHARACTERISTICS OF THE NATIVE AND FOREIGN-BORN POPULATIONS,int,S0501,0,"S0501_C05_038EA,S0501_C05_038M,S0501_C05_038MA",
4215,S0502PR_C03_020E,Foreign born; Entered 2000 to 2009!!Estimate!!75 to 84 years,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY PERIOD OF ENTRY INTO PUERTO RICO,float,S0502PR,0,"S0502PR_C03_020EA,S0502PR_C03_020M,S0502PR_C03_020MA",
4216,S1903_C02_020E,"Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present",MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS),int,S1903,0,"S1903_C02_020EA,S1903_C02_020M,S1903_C02_020MA",
4217,S2404_C05_015E,"Median earnings (dollars) for male!!Estimate!!Finance and insurance, and real estate and rental and leasing!!Real estate and rental and leasing","INDUSTRY BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",int,S2404,0,"S2404_C05_015EA,S2404_C05_015M,S2404_C05_015MA",
4218,S0506_C02_090E,"Foreign born; Born in Latin America!!Estimate!!EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$15,000 to $24,999",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: LATIN AMERICA,float,S0506,0,"S0506_C02_090EA,S0506_C02_090M,S0506_C02_090MA",
4219,S2404_C05_014E,"Median earnings (dollars) for male!!Estimate!!Finance and insurance, and real estate and rental and leasing!!Finance and insurance","INDUSTRY BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",int,S2404,0,"S2404_C05_014EA,S2404_C05_014M,S2404_C05_014MA",
4220,S0506_C02_091E,"Foreign born; Born in Latin America!!Estimate!!EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings!!$25,000 to $34,999",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: LATIN AMERICA,float,S0506,0,"S0506_C02_091EA,S0506_C02_091M,S0506_C02_091MA",
4221,S1903_C02_022E,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS),int,S1903,0,"S1903_C02_022EA,S1903_C02_022M,S1903_C02_022MA",
4222,S2404_C05_017E,"Median earnings (dollars) for male!!Estimate!!Professional, scientific, and management, and administrative and waste management services!!Professional, scientific, and technical services","INDUSTRY BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",int,S2404,0,"S2404_C05_017EA,S2404_C05_017M,S2404_C05_017MA",
4223,S1903_C02_021E,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS),int,S1903,0,"S1903_C02_021EA,S1903_C02_021M,S1903_C02_021MA",
4224,S2504_C03_037E,Renter-occupied housing units!!Estimate!!HOUSE HEATING FUEL!!No fuel used,PHYSICAL HOUSING CHARACTERISTICS FOR OCCUPIED HOUSING UNITS,float,S2504,0,"S2504_C03_037EA,S2504_C03_037M,S2504_C03_037MA",
4225,S0504_C04_120E,Foreign born; Born in Oceania!!Estimate!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!Married-couple family!!With related children under 5 years only,"SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: AFRICA, NORTHERN AMERICA, AND OCEANIA",float,S0504,0,"S0504_C04_120EA,S0504_C04_120M,S0504_C04_120MA",
4226,S2404_C05_016E,"Median earnings (dollars) for male!!Estimate!!Professional, scientific, and management, and administrative and waste management services","INDUSTRY BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",int,S2404,0,"S2404_C05_016EA,S2404_C05_016M,S2404_C05_016MA",
4227,S0804_C01_086E,Total!!Estimate!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes),MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS FOR WORKPLACE GEOGRAPHY,float,S0804,0,"S0804_C01_086EA,S0804_C01_086M,S0804_C01_086MA",
4228,S2404_C05_011E,"Median earnings (dollars) for male!!Estimate!!Transportation and warehousing, and utilities!!Utilities","INDUSTRY BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",int,S2404,0,"S2404_C05_011EA,S2404_C05_011M,S2404_C05_011MA",
4229,S0505_C05_066E,Foreign born; Born in South Eastern Asia!!Estimate!!Civilian employed population 16 years and over!!CLASS OF WORKER!!Government workers,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: ASIA,float,S0505,0,"S0505_C05_066EA,S0505_C05_066M,S0505_C05_066MA",
4230,S2504_C03_036E,Renter-occupied housing units!!Estimate!!HOUSE HEATING FUEL!!All other fuels,PHYSICAL HOUSING CHARACTERISTICS FOR OCCUPIED HOUSING UNITS,float,S2504,0,"S2504_C03_036EA,S2504_C03_036M,S2504_C03_036MA",
4231,S2302_C01_019E,"Total!!Estimate!!Married-couple families!!Householder worked full-time, year-round in the past 12 months",EMPLOYMENT CHARACTERISTICS OF FAMILIES,float,S2302,0,"S2302_C01_019EA,S2302_C01_019M,S2302_C01_019MA",
4232,S0502PR_C03_024E,Foreign born; Entered 2000 to 2009!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY PERIOD OF ENTRY INTO PUERTO RICO,float,S0502PR,0,"S0502PR_C03_024EA,S0502PR_C03_024M,S0502PR_C03_024MA",
4233,S1903_C02_024E,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS),int,S1903,0,"S1903_C02_024EA,S1903_C02_024M,S1903_C02_024MA",
4234,S0804_C01_087E,Total!!Estimate!!Workers 16 years and over in households,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS FOR WORKPLACE GEOGRAPHY,int,S0804,0,"S0804_C01_087EA,S0804_C01_087M,S0804_C01_087MA",
4235,S0502PR_C03_023E,Foreign born; Entered 2000 to 2009!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY PERIOD OF ENTRY INTO PUERTO RICO,float,S0502PR,0,"S0502PR_C03_023EA,S0502PR_C03_023M,S0502PR_C03_023MA",
4236,S2404_C05_010E,"Median earnings (dollars) for male!!Estimate!!Transportation and warehousing, and utilities!!Transportation and warehousing","INDUSTRY BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",int,S2404,0,"S2404_C05_010EA,S2404_C05_010M,S2404_C05_010MA",
4237,S0505_C05_067E,Foreign born; Born in South Eastern Asia!!Estimate!!Civilian employed population 16 years and over!!CLASS OF WORKER!!Self-employed workers in own not incorporated business,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: ASIA,float,S0505,0,"S0505_C05_067EA,S0505_C05_067M,S0505_C05_067MA",
4238,S2504_C03_035E,Renter-occupied housing units!!Estimate!!HOUSE HEATING FUEL!!Coal or coke,PHYSICAL HOUSING CHARACTERISTICS FOR OCCUPIED HOUSING UNITS,float,S2504,0,"S2504_C03_035EA,S2504_C03_035M,S2504_C03_035MA",
4239,S1903_C02_023E,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS),int,S1903,0,"S1903_C02_023EA,S1903_C02_023M,S1903_C02_023MA",
4240,S0804_C01_088E,Total!!Estimate!!Workers 16 years and over in households!!HOUSING TENURE!!Owner-occupied housing units,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS FOR WORKPLACE GEOGRAPHY,float,S0804,0,"S0804_C01_088EA,S0804_C01_088M,S0804_C01_088MA",
4241,S0502PR_C03_022E,Foreign born; Entered 2000 to 2009!!Estimate!!Median age (years),SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY PERIOD OF ENTRY INTO PUERTO RICO,float,S0502PR,0,"S0502PR_C03_022EA,S0502PR_C03_022M,S0502PR_C03_022MA",
