,variable_code,label_14,label_19,label_same,label_14_diff,label_19_diff
235,DP02_0005PMA,"['ANNOTATION OF PERCENT MARGIN OF ERROR', 'HOUSEHOLDS BY TYPE', 'TOTAL HOUSEHOLDS', 'FAMILY HOUSEHOLDS (FAMILIES)', 'MARRIED-COUPLE FAMILY', 'WITH OWN CHILDREN UNDER 18 YEARS']","['ANNOTATION OF PERCENT MARGIN OF ERROR', 'HOUSEHOLDS BY TYPE', 'TOTAL HOUSEHOLDS', 'COHABITING COUPLE HOUSEHOLD', 'WITH OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS']","['TOTAL HOUSEHOLDS', 'ANNOTATION OF PERCENT MARGIN OF ERROR', 'HOUSEHOLDS BY TYPE']","['MARRIED-COUPLE FAMILY', 'FAMILY HOUSEHOLDS (FAMILIES)', 'WITH OWN CHILDREN UNDER 18 YEARS']","['COHABITING COUPLE HOUSEHOLD', 'WITH OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS']"
236,DP02_0132EA,"['ANNOTATION OF ESTIMATE', 'ANCESTRY', 'TOTAL POPULATION', 'GREEK']","['ANNOTATION OF ESTIMATE', 'ANCESTRY', 'TOTAL POPULATION', 'GERMAN']","['ANNOTATION OF ESTIMATE', 'ANCESTRY', 'TOTAL POPULATION']",['GREEK'],['GERMAN']
237,DP02_0071M,"['MARGIN OF ERROR', 'DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION', 'TOTAL CIVILIAN NONINSTITUTIONALIZED POPULATION', 'WITH A DISABILITY']","['MARGIN OF ERROR', 'DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION', 'TOTAL CIVILIAN NONINSTITUTIONALIZED POPULATION']","['MARGIN OF ERROR', 'DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION', 'TOTAL CIVILIAN NONINSTITUTIONALIZED POPULATION']",['WITH A DISABILITY'],[]
238,DP02_0120PMA,"['ANNOTATION OF PERCENT MARGIN OF ERROR', 'LANGUAGE SPOKEN AT HOME', 'POPULATION 5 YEARS AND OVER', 'OTHER LANGUAGES']","['ANNOTATION OF PERCENT MARGIN OF ERROR', 'LANGUAGE SPOKEN AT HOME', 'POPULATION 5 YEARS AND OVER', 'ASIAN AND PACIFIC ISLANDER LANGUAGES', 'SPEAK ENGLISH LESS THAN ""VERY WELL""']","['POPULATION 5 YEARS AND OVER', 'LANGUAGE SPOKEN AT HOME', 'ANNOTATION OF PERCENT MARGIN OF ERROR']",['OTHER LANGUAGES'],"['SPEAK ENGLISH LESS THAN ""VERY WELL""', 'ASIAN AND PACIFIC ISLANDER LANGUAGES']"
239,DP02_0135PEA,"['ANNOTATION OF PERCENT', 'ANCESTRY', 'TOTAL POPULATION', 'ITALIAN']","['ANNOTATION OF PERCENT', 'ANCESTRY', 'TOTAL POPULATION', 'IRISH']","['ANCESTRY', 'TOTAL POPULATION', 'ANNOTATION OF PERCENT']",['ITALIAN'],['IRISH']
240,DP02_0072E,"['ESTIMATE', 'DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION', 'UNDER 18 YEARS']","['ESTIMATE', 'DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION', 'TOTAL CIVILIAN NONINSTITUTIONALIZED POPULATION', 'WITH A DISABILITY']","['ESTIMATE', 'DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION']",['UNDER 18 YEARS'],"['TOTAL CIVILIAN NONINSTITUTIONALIZED POPULATION', 'WITH A DISABILITY']"
241,DP02_0078PEA,"['ANNOTATION OF PERCENT', 'RESIDENCE 1 YEAR AGO', 'POPULATION 1 YEAR AND OVER']","['ANNOTATION OF PERCENT', 'DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION', '65 YEARS AND OVER', 'WITH A DISABILITY']",['ANNOTATION OF PERCENT'],"['RESIDENCE 1 YEAR AGO', 'POPULATION 1 YEAR AND OVER']","['WITH A DISABILITY', 'DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION', '65 YEARS AND OVER']"
242,DP02_0091PE,"['PERCENT', 'PLACE OF BIRTH', 'TOTAL POPULATION', 'NATIVE', 'BORN IN PUERTO RICO, U.S. ISLAND AREAS, OR BORN ABROAD TO AMERICAN PARENT(S)']","['PERCENT', 'PLACE OF BIRTH', 'TOTAL POPULATION', 'NATIVE', 'BORN IN UNITED STATES', 'DIFFERENT STATE']","['PLACE OF BIRTH', 'NATIVE', 'TOTAL POPULATION', 'PERCENT']","['BORN IN PUERTO RICO, U.S. ISLAND AREAS, OR BORN ABROAD TO AMERICAN PARENT(S)']","['DIFFERENT STATE', 'BORN IN UNITED STATES']"
243,DP02_0054PEA,"['ANNOTATION OF PERCENT', 'SCHOOL ENROLLMENT', 'POPULATION 3 YEARS AND OVER ENROLLED IN SCHOOL', 'KINDERGARTEN']","['ANNOTATION OF PERCENT', 'SCHOOL ENROLLMENT', 'POPULATION 3 YEARS AND OVER ENROLLED IN SCHOOL', 'NURSERY SCHOOL, PRESCHOOL']","['SCHOOL ENROLLMENT', 'POPULATION 3 YEARS AND OVER ENROLLED IN SCHOOL', 'ANNOTATION OF PERCENT']",['KINDERGARTEN'],"['NURSERY SCHOOL, PRESCHOOL']"
244,DP02_0070M,"['MARGIN OF ERROR', 'DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION', 'TOTAL CIVILIAN NONINSTITUTIONALIZED POPULATION']","['MARGIN OF ERROR', 'VETERAN STATUS', 'CIVILIAN POPULATION 18 YEARS AND OVER', 'CIVILIAN VETERANS']",['MARGIN OF ERROR'],"['DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION', 'TOTAL CIVILIAN NONINSTITUTIONALIZED POPULATION']","['VETERAN STATUS', 'CIVILIAN POPULATION 18 YEARS AND OVER', 'CIVILIAN VETERANS']"
245,DP02_0071E,"['ESTIMATE', 'DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION', 'TOTAL CIVILIAN NONINSTITUTIONALIZED POPULATION', 'WITH A DISABILITY']","['ESTIMATE', 'DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION', 'TOTAL CIVILIAN NONINSTITUTIONALIZED POPULATION']","['ESTIMATE', 'DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION', 'TOTAL CIVILIAN NONINSTITUTIONALIZED POPULATION']",['WITH A DISABILITY'],[]
246,DP02_0056EA,"['ANNOTATION OF ESTIMATE', 'SCHOOL ENROLLMENT', 'POPULATION 3 YEARS AND OVER ENROLLED IN SCHOOL', 'HIGH SCHOOL (GRADES 9-12)']","['ANNOTATION OF ESTIMATE', 'SCHOOL ENROLLMENT', 'POPULATION 3 YEARS AND OVER ENROLLED IN SCHOOL', 'ELEMENTARY SCHOOL (GRADES 1-8)']","['SCHOOL ENROLLMENT', 'ANNOTATION OF ESTIMATE', 'POPULATION 3 YEARS AND OVER ENROLLED IN SCHOOL']",['HIGH SCHOOL (GRADES 9-12)'],['ELEMENTARY SCHOOL (GRADES 1-8)']
247,DP02_0119PMA,"['ANNOTATION OF PERCENT MARGIN OF ERROR', 'LANGUAGE SPOKEN AT HOME', 'POPULATION 5 YEARS AND OVER', 'ASIAN AND PACIFIC ISLANDER LANGUAGES', 'SPEAK ENGLISH LESS THAN ""VERY WELL""']","['ANNOTATION OF PERCENT MARGIN OF ERROR', 'LANGUAGE SPOKEN AT HOME', 'POPULATION 5 YEARS AND OVER', 'ASIAN AND PACIFIC ISLANDER LANGUAGES']","['POPULATION 5 YEARS AND OVER', 'LANGUAGE SPOKEN AT HOME', 'ANNOTATION OF PERCENT MARGIN OF ERROR', 'ASIAN AND PACIFIC ISLANDER LANGUAGES']","['SPEAK ENGLISH LESS THAN ""VERY WELL""']",[]
248,DP02_0038PM,"['PERCENT MARGIN OF ERROR', 'FERTILITY', 'NUMBER OF WOMEN 15 TO 50 YEARS OLD WHO HAD A BIRTH IN THE PAST 12 MONTHS', 'UNMARRIED WOMEN (WIDOWED, DIVORCED, AND NEVER MARRIED)', 'PER 1,000 UNMARRIED WOMEN']","['PERCENT MARGIN OF ERROR', 'FERTILITY', 'NUMBER OF WOMEN 15 TO 50 YEARS OLD WHO HAD A BIRTH IN THE PAST 12 MONTHS', 'UNMARRIED WOMEN (WIDOWED, DIVORCED, AND NEVER MARRIED)']","['PERCENT MARGIN OF ERROR', 'UNMARRIED WOMEN (WIDOWED, DIVORCED, AND NEVER MARRIED)', 'NUMBER OF WOMEN 15 TO 50 YEARS OLD WHO HAD A BIRTH IN THE PAST 12 MONTHS', 'FERTILITY']","['PER 1,000 UNMARRIED WOMEN']",[]
249,DP02_0147PEA,"['ANNOTATION OF PERCENT', 'ANCESTRY', 'TOTAL POPULATION', 'UKRAINIAN']","['ANNOTATION OF PERCENT', 'ANCESTRY', 'TOTAL POPULATION', 'SWISS']","['ANCESTRY', 'TOTAL POPULATION', 'ANNOTATION OF PERCENT']",['UKRAINIAN'],['SWISS']
250,DP02_0070E,"['ESTIMATE', 'DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION', 'TOTAL CIVILIAN NONINSTITUTIONALIZED POPULATION']","['ESTIMATE', 'VETERAN STATUS', 'CIVILIAN POPULATION 18 YEARS AND OVER', 'CIVILIAN VETERANS']",['ESTIMATE'],"['DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION', 'TOTAL CIVILIAN NONINSTITUTIONALIZED POPULATION']","['VETERAN STATUS', 'CIVILIAN POPULATION 18 YEARS AND OVER', 'CIVILIAN VETERANS']"
251,DP02_0017PMA,"['ANNOTATION OF PERCENT MARGIN OF ERROR', 'RELATIONSHIP', 'POPULATION IN HOUSEHOLDS']","['ANNOTATION OF PERCENT MARGIN OF ERROR', 'HOUSEHOLDS BY TYPE', 'TOTAL HOUSEHOLDS', 'AVERAGE FAMILY SIZE']",['ANNOTATION OF PERCENT MARGIN OF ERROR'],"['RELATIONSHIP', 'POPULATION IN HOUSEHOLDS']","['TOTAL HOUSEHOLDS', 'AVERAGE FAMILY SIZE', 'HOUSEHOLDS BY TYPE']"
252,DP02_0038PE,"['PERCENT', 'FERTILITY', 'NUMBER OF WOMEN 15 TO 50 YEARS OLD WHO HAD A BIRTH IN THE PAST 12 MONTHS', 'UNMARRIED WOMEN (WIDOWED, DIVORCED, AND NEVER MARRIED)', 'PER 1,000 UNMARRIED WOMEN']","['PERCENT', 'FERTILITY', 'NUMBER OF WOMEN 15 TO 50 YEARS OLD WHO HAD A BIRTH IN THE PAST 12 MONTHS', 'UNMARRIED WOMEN (WIDOWED, DIVORCED, AND NEVER MARRIED)']","['PERCENT', 'UNMARRIED WOMEN (WIDOWED, DIVORCED, AND NEVER MARRIED)', 'FERTILITY', 'NUMBER OF WOMEN 15 TO 50 YEARS OLD WHO HAD A BIRTH IN THE PAST 12 MONTHS']","['PER 1,000 UNMARRIED WOMEN']",[]
253,DP02_0091PM,"['PERCENT MARGIN OF ERROR', 'PLACE OF BIRTH', 'TOTAL POPULATION', 'NATIVE', 'BORN IN PUERTO RICO, U.S. ISLAND AREAS, OR BORN ABROAD TO AMERICAN PARENT(S)']","['PERCENT MARGIN OF ERROR', 'PLACE OF BIRTH', 'TOTAL POPULATION', 'NATIVE', 'BORN IN UNITED STATES', 'DIFFERENT STATE']","['PLACE OF BIRTH', 'NATIVE', 'PERCENT MARGIN OF ERROR', 'TOTAL POPULATION']","['BORN IN PUERTO RICO, U.S. ISLAND AREAS, OR BORN ABROAD TO AMERICAN PARENT(S)']","['DIFFERENT STATE', 'BORN IN UNITED STATES']"
254,DP02_0025MA,"['ANNOTATION OF MARGIN OF ERROR', 'MARITAL STATUS', 'MALES 15 YEARS AND OVER', 'NEVER MARRIED']","['ANNOTATION OF MARGIN OF ERROR', 'MARITAL STATUS', 'MALES 15 YEARS AND OVER']","['ANNOTATION OF MARGIN OF ERROR', 'MARITAL STATUS', 'MALES 15 YEARS AND OVER']",['NEVER MARRIED'],[]
255,DP02_0007PM,"['PERCENT MARGIN OF ERROR', 'HOUSEHOLDS BY TYPE', 'TOTAL HOUSEHOLDS', 'FAMILY HOUSEHOLDS (FAMILIES)', 'MALE HOUSEHOLDER, NO WIFE PRESENT, FAMILY', 'WITH OWN CHILDREN UNDER 18 YEARS']","['PERCENT MARGIN OF ERROR', 'HOUSEHOLDS BY TYPE', 'TOTAL HOUSEHOLDS', 'MALE HOUSEHOLDER, NO SPOUSE/PARTNER PRESENT', 'WITH OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS']","['TOTAL HOUSEHOLDS', 'PERCENT MARGIN OF ERROR', 'HOUSEHOLDS BY TYPE']","['MALE HOUSEHOLDER, NO WIFE PRESENT, FAMILY', 'FAMILY HOUSEHOLDS (FAMILIES)', 'WITH OWN CHILDREN UNDER 18 YEARS']","['MALE HOUSEHOLDER, NO SPOUSE/PARTNER PRESENT', 'WITH OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS']"
256,DP02_0145EA,"['ANNOTATION OF ESTIMATE', 'ANCESTRY', 'TOTAL POPULATION', 'SWEDISH']","['ANNOTATION OF ESTIMATE', 'ANCESTRY', 'TOTAL POPULATION', 'SUBSAHARAN AFRICAN']","['ANNOTATION OF ESTIMATE', 'ANCESTRY', 'TOTAL POPULATION']",['SWEDISH'],['SUBSAHARAN AFRICAN']
257,DP02_0107PMA,"['ANNOTATION OF PERCENT MARGIN OF ERROR', 'WORLD REGION OF BIRTH OF FOREIGN BORN', 'FOREIGN-BORN POPULATION, EXCLUDING POPULATION BORN AT SEA', 'OCEANIA']","['ANNOTATION OF PERCENT MARGIN OF ERROR', 'WORLD REGION OF BIRTH OF FOREIGN BORN', 'FOREIGN-BORN POPULATION, EXCLUDING POPULATION BORN AT SEA', 'AFRICA']","['FOREIGN-BORN POPULATION, EXCLUDING POPULATION BORN AT SEA', 'ANNOTATION OF PERCENT MARGIN OF ERROR', 'WORLD REGION OF BIRTH OF FOREIGN BORN']",['OCEANIA'],['AFRICA']
258,DP02_0060PM,"['PERCENT MARGIN OF ERROR', 'EDUCATIONAL ATTAINMENT', 'POPULATION 25 YEARS AND OVER', '9TH TO 12TH GRADE, NO DIPLOMA']","['PERCENT MARGIN OF ERROR', 'EDUCATIONAL ATTAINMENT', 'POPULATION 25 YEARS AND OVER', 'LESS THAN 9TH GRADE']","['PERCENT MARGIN OF ERROR', 'POPULATION 25 YEARS AND OVER', 'EDUCATIONAL ATTAINMENT']","['9TH TO 12TH GRADE, NO DIPLOMA']",['LESS THAN 9TH GRADE']
259,DP02_0042PMA,"['ANNOTATION OF PERCENT MARGIN OF ERROR', 'FERTILITY', 'NUMBER OF WOMEN 15 TO 50 YEARS OLD WHO HAD A BIRTH IN THE PAST 12 MONTHS', 'PER 1,000 WOMEN 35 TO 50 YEARS OLD']","['ANNOTATION OF PERCENT MARGIN OF ERROR', 'FERTILITY', 'NUMBER OF WOMEN 15 TO 50 YEARS OLD WHO HAD A BIRTH IN THE PAST 12 MONTHS', 'PER 1,000 WOMEN 20 TO 34 YEARS OLD']","['FERTILITY', 'ANNOTATION OF PERCENT MARGIN OF ERROR', 'NUMBER OF WOMEN 15 TO 50 YEARS OLD WHO HAD A BIRTH IN THE PAST 12 MONTHS']","['PER 1,000 WOMEN 35 TO 50 YEARS OLD']","['PER 1,000 WOMEN 20 TO 34 YEARS OLD']"
260,DP02_0060PE,"['PERCENT', 'EDUCATIONAL ATTAINMENT', 'POPULATION 25 YEARS AND OVER', '9TH TO 12TH GRADE, NO DIPLOMA']","['PERCENT', 'EDUCATIONAL ATTAINMENT', 'POPULATION 25 YEARS AND OVER', 'LESS THAN 9TH GRADE']","['POPULATION 25 YEARS AND OVER', 'PERCENT', 'EDUCATIONAL ATTAINMENT']","['9TH TO 12TH GRADE, NO DIPLOMA']",['LESS THAN 9TH GRADE']
261,DP02_0007PE,"['PERCENT', 'HOUSEHOLDS BY TYPE', 'TOTAL HOUSEHOLDS', 'FAMILY HOUSEHOLDS (FAMILIES)', 'MALE HOUSEHOLDER, NO WIFE PRESENT, FAMILY', 'WITH OWN CHILDREN UNDER 18 YEARS']","['PERCENT', 'HOUSEHOLDS BY TYPE', 'TOTAL HOUSEHOLDS', 'MALE HOUSEHOLDER, NO SPOUSE/PARTNER PRESENT', 'WITH OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS']","['TOTAL HOUSEHOLDS', 'PERCENT', 'HOUSEHOLDS BY TYPE']","['MALE HOUSEHOLDER, NO WIFE PRESENT, FAMILY', 'FAMILY HOUSEHOLDS (FAMILIES)', 'WITH OWN CHILDREN UNDER 18 YEARS']","['MALE HOUSEHOLDER, NO SPOUSE/PARTNER PRESENT', 'WITH OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS']"
262,DP02_0029PMA,"['ANNOTATION OF PERCENT MARGIN OF ERROR', 'MARITAL STATUS', 'MALES 15 YEARS AND OVER', 'DIVORCED']","['ANNOTATION OF PERCENT MARGIN OF ERROR', 'MARITAL STATUS', 'MALES 15 YEARS AND OVER', 'WIDOWED']","['ANNOTATION OF PERCENT MARGIN OF ERROR', 'MARITAL STATUS', 'MALES 15 YEARS AND OVER']",['DIVORCED'],['WIDOWED']
263,DP02_0012EA,"['ANNOTATION OF ESTIMATE', 'HOUSEHOLDS BY TYPE', 'TOTAL HOUSEHOLDS', 'NONFAMILY HOUSEHOLDS', 'HOUSEHOLDER LIVING ALONE', '65 YEARS AND OVER']","['ANNOTATION OF ESTIMATE', 'HOUSEHOLDS BY TYPE', 'TOTAL HOUSEHOLDS', 'FEMALE HOUSEHOLDER, NO SPOUSE/PARTNER PRESENT', 'HOUSEHOLDER LIVING ALONE']","['TOTAL HOUSEHOLDS', 'HOUSEHOLDER LIVING ALONE', 'ANNOTATION OF ESTIMATE', 'HOUSEHOLDS BY TYPE']","['NONFAMILY HOUSEHOLDS', '65 YEARS AND OVER']","['FEMALE HOUSEHOLDER, NO SPOUSE/PARTNER PRESENT']"
264,DP02_0030PMA,"['ANNOTATION OF PERCENT MARGIN OF ERROR', 'MARITAL STATUS', 'FEMALES 15 YEARS AND OVER']","['ANNOTATION OF PERCENT MARGIN OF ERROR', 'MARITAL STATUS', 'MALES 15 YEARS AND OVER', 'DIVORCED']","['MARITAL STATUS', 'ANNOTATION OF PERCENT MARGIN OF ERROR']",['FEMALES 15 YEARS AND OVER'],"['DIVORCED', 'MALES 15 YEARS AND OVER']"
265,DP02_0091MA,"['ANNOTATION OF MARGIN OF ERROR', 'PLACE OF BIRTH', 'TOTAL POPULATION', 'NATIVE', 'BORN IN PUERTO RICO, U.S. ISLAND AREAS, OR BORN ABROAD TO AMERICAN PARENT(S)']","['ANNOTATION OF MARGIN OF ERROR', 'PLACE OF BIRTH', 'TOTAL POPULATION', 'NATIVE', 'BORN IN UNITED STATES', 'DIFFERENT STATE']","['PLACE OF BIRTH', 'NATIVE', 'ANNOTATION OF MARGIN OF ERROR', 'TOTAL POPULATION']","['BORN IN PUERTO RICO, U.S. ISLAND AREAS, OR BORN ABROAD TO AMERICAN PARENT(S)']","['DIFFERENT STATE', 'BORN IN UNITED STATES']"
266,DP02_0069EA,"['ANNOTATION OF ESTIMATE', 'VETERAN STATUS', 'CIVILIAN POPULATION 18 YEARS AND OVER', 'CIVILIAN VETERANS']","['ANNOTATION OF ESTIMATE', 'VETERAN STATUS', 'CIVILIAN POPULATION 18 YEARS AND OVER']","['VETERAN STATUS', 'CIVILIAN POPULATION 18 YEARS AND OVER', 'ANNOTATION OF ESTIMATE']",['CIVILIAN VETERANS'],[]
267,DP02_0127PE,"['PERCENT', 'ANCESTRY', 'TOTAL POPULATION', 'DUTCH']","['PERCENT', 'ANCESTRY', 'TOTAL POPULATION', 'DANISH']","['PERCENT', 'ANCESTRY', 'TOTAL POPULATION']",['DUTCH'],['DANISH']
268,DP02_0114MA,"['ANNOTATION OF MARGIN OF ERROR', 'LANGUAGE SPOKEN AT HOME', 'POPULATION 5 YEARS AND OVER', 'SPANISH']","['ANNOTATION OF MARGIN OF ERROR', 'LANGUAGE SPOKEN AT HOME', 'POPULATION 5 YEARS AND OVER', 'LANGUAGE OTHER THAN ENGLISH', 'SPEAK ENGLISH LESS THAN ""VERY WELL""']","['POPULATION 5 YEARS AND OVER', 'LANGUAGE SPOKEN AT HOME', 'ANNOTATION OF MARGIN OF ERROR']",['SPANISH'],"['SPEAK ENGLISH LESS THAN ""VERY WELL""', 'LANGUAGE OTHER THAN ENGLISH']"
269,DP02_0127PM,"['PERCENT MARGIN OF ERROR', 'ANCESTRY', 'TOTAL POPULATION', 'DUTCH']","['PERCENT MARGIN OF ERROR', 'ANCESTRY', 'TOTAL POPULATION', 'DANISH']","['PERCENT MARGIN OF ERROR', 'ANCESTRY', 'TOTAL POPULATION']",['DUTCH'],['DANISH']
270,DP02_0066PEA,"['ANNOTATION OF PERCENT', 'EDUCATIONAL ATTAINMENT', 'PERCENT HIGH SCHOOL GRADUATE OR HIGHER']","['ANNOTATION OF PERCENT', 'EDUCATIONAL ATTAINMENT', 'POPULATION 25 YEARS AND OVER', 'GRADUATE OR PROFESSIONAL DEGREE']","['ANNOTATION OF PERCENT', 'EDUCATIONAL ATTAINMENT']",['PERCENT HIGH SCHOOL GRADUATE OR HIGHER'],"['POPULATION 25 YEARS AND OVER', 'GRADUATE OR PROFESSIONAL DEGREE']"
271,DP02_0030EA,"['ANNOTATION OF ESTIMATE', 'MARITAL STATUS', 'FEMALES 15 YEARS AND OVER']","['ANNOTATION OF ESTIMATE', 'MARITAL STATUS', 'MALES 15 YEARS AND OVER', 'DIVORCED']","['MARITAL STATUS', 'ANNOTATION OF ESTIMATE']",['FEMALES 15 YEARS AND OVER'],"['DIVORCED', 'MALES 15 YEARS AND OVER']"
272,DP02_0132MA,"['ANNOTATION OF MARGIN OF ERROR', 'ANCESTRY', 'TOTAL POPULATION', 'GREEK']","['ANNOTATION OF MARGIN OF ERROR', 'ANCESTRY', 'TOTAL POPULATION', 'GERMAN']","['ANNOTATION OF MARGIN OF ERROR', 'TOTAL POPULATION', 'ANCESTRY']",['GREEK'],['GERMAN']
273,DP02_0120PEA,"['ANNOTATION OF PERCENT', 'LANGUAGE SPOKEN AT HOME', 'POPULATION 5 YEARS AND OVER', 'OTHER LANGUAGES']","['ANNOTATION OF PERCENT', 'LANGUAGE SPOKEN AT HOME', 'POPULATION 5 YEARS AND OVER', 'ASIAN AND PACIFIC ISLANDER LANGUAGES', 'SPEAK ENGLISH LESS THAN ""VERY WELL""']","['POPULATION 5 YEARS AND OVER', 'LANGUAGE SPOKEN AT HOME', 'ANNOTATION OF PERCENT']",['OTHER LANGUAGES'],"['SPEAK ENGLISH LESS THAN ""VERY WELL""', 'ASIAN AND PACIFIC ISLANDER LANGUAGES']"
274,DP02_0145PE,"['PERCENT', 'ANCESTRY', 'TOTAL POPULATION', 'SWEDISH']","['PERCENT', 'ANCESTRY', 'TOTAL POPULATION', 'SUBSAHARAN AFRICAN']","['PERCENT', 'ANCESTRY', 'TOTAL POPULATION']",['SWEDISH'],['SUBSAHARAN AFRICAN']
275,DP02_0012PE,"['PERCENT', 'HOUSEHOLDS BY TYPE', 'TOTAL HOUSEHOLDS', 'NONFAMILY HOUSEHOLDS', 'HOUSEHOLDER LIVING ALONE', '65 YEARS AND OVER']","['PERCENT', 'HOUSEHOLDS BY TYPE', 'TOTAL HOUSEHOLDS', 'FEMALE HOUSEHOLDER, NO SPOUSE/PARTNER PRESENT', 'HOUSEHOLDER LIVING ALONE']","['TOTAL HOUSEHOLDS', 'HOUSEHOLDER LIVING ALONE', 'PERCENT', 'HOUSEHOLDS BY TYPE']","['NONFAMILY HOUSEHOLDS', '65 YEARS AND OVER']","['FEMALE HOUSEHOLDER, NO SPOUSE/PARTNER PRESENT']"
276,DP02_0145PM,"['PERCENT MARGIN OF ERROR', 'ANCESTRY', 'TOTAL POPULATION', 'SWEDISH']","['PERCENT MARGIN OF ERROR', 'ANCESTRY', 'TOTAL POPULATION', 'SUBSAHARAN AFRICAN']","['PERCENT MARGIN OF ERROR', 'ANCESTRY', 'TOTAL POPULATION']",['SWEDISH'],['SUBSAHARAN AFRICAN']
277,DP02_0087EA,"['ANNOTATION OF ESTIMATE', 'PLACE OF BIRTH', 'TOTAL POPULATION', 'NATIVE']","['ANNOTATION OF ESTIMATE', 'PLACE OF BIRTH', 'TOTAL POPULATION']","['PLACE OF BIRTH', 'ANNOTATION OF ESTIMATE', 'TOTAL POPULATION']",['NATIVE'],[]
278,DP02_0012PM,"['PERCENT MARGIN OF ERROR', 'HOUSEHOLDS BY TYPE', 'TOTAL HOUSEHOLDS', 'NONFAMILY HOUSEHOLDS', 'HOUSEHOLDER LIVING ALONE', '65 YEARS AND OVER']","['PERCENT MARGIN OF ERROR', 'HOUSEHOLDS BY TYPE', 'TOTAL HOUSEHOLDS', 'FEMALE HOUSEHOLDER, NO SPOUSE/PARTNER PRESENT', 'HOUSEHOLDER LIVING ALONE']","['TOTAL HOUSEHOLDS', 'PERCENT MARGIN OF ERROR', 'HOUSEHOLDER LIVING ALONE', 'HOUSEHOLDS BY TYPE']","['NONFAMILY HOUSEHOLDS', '65 YEARS AND OVER']","['FEMALE HOUSEHOLDER, NO SPOUSE/PARTNER PRESENT']"
279,DP02_0135PMA,"['ANNOTATION OF PERCENT MARGIN OF ERROR', 'ANCESTRY', 'TOTAL POPULATION', 'ITALIAN']","['ANNOTATION OF PERCENT MARGIN OF ERROR', 'ANCESTRY', 'TOTAL POPULATION', 'IRISH']","['ANNOTATION OF PERCENT MARGIN OF ERROR', 'TOTAL POPULATION', 'ANCESTRY']",['ITALIAN'],['IRISH']
280,DP02_0078PMA,"['ANNOTATION OF PERCENT MARGIN OF ERROR', 'RESIDENCE 1 YEAR AGO', 'POPULATION 1 YEAR AND OVER']","['ANNOTATION OF PERCENT MARGIN OF ERROR', 'DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION', '65 YEARS AND OVER', 'WITH A DISABILITY']",['ANNOTATION OF PERCENT MARGIN OF ERROR'],"['RESIDENCE 1 YEAR AGO', 'POPULATION 1 YEAR AND OVER']","['65 YEARS AND OVER', 'DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION', 'WITH A DISABILITY']"
281,DP02_0119PEA,"['ANNOTATION OF PERCENT', 'LANGUAGE SPOKEN AT HOME', 'POPULATION 5 YEARS AND OVER', 'ASIAN AND PACIFIC ISLANDER LANGUAGES', 'SPEAK ENGLISH LESS THAN ""VERY WELL""']","['ANNOTATION OF PERCENT', 'LANGUAGE SPOKEN AT HOME', 'POPULATION 5 YEARS AND OVER', 'ASIAN AND PACIFIC ISLANDER LANGUAGES']","['POPULATION 5 YEARS AND OVER', 'LANGUAGE SPOKEN AT HOME', 'ANNOTATION OF PERCENT', 'ASIAN AND PACIFIC ISLANDER LANGUAGES']","['SPEAK ENGLISH LESS THAN ""VERY WELL""']",[]
282,DP02_0132PE,"['PERCENT', 'ANCESTRY', 'TOTAL POPULATION', 'GREEK']","['PERCENT', 'ANCESTRY', 'TOTAL POPULATION', 'GERMAN']","['PERCENT', 'ANCESTRY', 'TOTAL POPULATION']",['GREEK'],['GERMAN']
